purchase_date,purchase_ym,item_name,item_price,고객이름,지역,등록일
2019-06-13 18:02,201906,상품A,100.0,김가온,C시,2017-01-26
2019-05-19 20:22,201905,상품A,100.0,김시훈,E시,2018-07-23
2019-06-25 8:13,201906,상품A,100.0,김유진,B시,2018-06-14
2019-06-13 16:03,201906,상품A,100.0,김건희,B시,2018-01-21
2019-02-10 0:28,201902,상품A,100.0,김하랑,E시,2018-01-11
2019-02-24 19:18,201902,상품A,100.0,김은우,E시,2017-01-04
2019-03-27 17:10,201903,상품A,100.0,김준희,H시,2017-07-08
2019-03-25 21:42,201903,상품A,100.0,김주한,D시,2018-06-05
2019-03-23 9:32,201903,상품A,100.0,김찬우,F시,2018-07-16
2019-02-17 20:25,201902,상품A,100.0,김경민,E시,2017-07-05
2019-02-11 3:54,201902,상품A,100.0,김우진,H시,2018-05-14
2019-05-04 14:44,201905,상품A,100.0,김준후,B시,2017-04-18
2019-03-23 20:08,201903,상품A,100.0,김은율,C시,2018-05-03
2019-01-21 11:49,201901,상품A,100.0,김준호,G시,2017-02-20
2019-04-04 18:58,201904,상품A,100.0,김승후,C시,2017-03-17
2019-02-28 17:25,201902,상품A,100.0,김라온,F시,2018-07-29
2019-01-19 12:15,201901,상품A,100.0,김승현,F시,2018-05-20
2019-03-10 3:52,201903,상품A,100.0,김지완,G시,2018-02-12
2019-04-11 2:22,201904,상품A,100.0,김선우,H시,2017-05-05
2019-07-27 1:45,201907,상품A,100.0,김지운,E시,2017-07-10
2019-01-16 7:35,201901,상품A,100.0,김강현,D시,2017-06-07
2019-06-13 2:20,201906,상품A,100.0,김준서,E시,2018-01-24
2019-07-07 21:49,201907,상품A,100.0,김은우,E시,2017-01-04
2019-05-06 2:40,201905,상품A,100.0,김은우,E시,2017-01-04
2019-02-12 2:52,201902,상품A,100.0,김서후,A시,2017-05-23
2019-07-08 4:17,201907,상품A,100.0,김강현,D시,2017-06-07
2019-06-20 12:57,201906,상품A,100.0,김지후,D시,2018-01-12
2019-04-27 2:50,201904,상품A,100.0,김현서,C시,2018-07-28
2019-06-14 9:08,201906,상품A,100.0,김가온,C시,2017-01-26
2019-07-28 7:55,201907,상품A,100.0,김승윤,F시,2017-03-25
2019-07-17 20:28,201907,상품A,100.0,김현서,C시,2018-07-28
2019-07-06 16:00,201907,상품A,100.0,김태우,F시,2018-06-18
2019-07-14 3:39,201907,상품A,100.0,김시우,H시,2018-05-19
2019-05-23 3:08,201905,상품A,100.0,김우진,H시,2018-05-14
2019-05-14 21:09,201905,상품A,100.0,김서후,A시,2017-05-23
2019-04-28 17:39,201904,상품A,100.0,김연호,E시,2017-02-07
2019-05-02 4:38,201905,상품A,100.0,김한결,C시,2017-02-18
2019-01-22 17:19,201901,상품A,100.0,김민재,B시,2018-05-15
2019-05-25 12:51,201905,상품A,100.0,김재민,D시,2018-02-02
2019-04-28 6:16,201904,상품A,100.0,김현준,E시,2017-07-02
2019-06-23 3:35,201906,상품A,100.0,김도윤,E시,2017-02-18
2019-06-25 9:06,201906,상품A,100.0,김주안,G시,2017-05-05
2019-03-13 21:36,201903,상품A,100.0,정도형,A시,2017-04-13
2019-05-07 14:29,201905,상품A,100.0,김수호,C시,2018-04-14
2019-02-28 4:11,201902,상품A,100.0,김서준,C시,2017-06-17
2019-01-19 3:37,201901,상품A,100.0,김도훈,F시,2017-06-12
2019-02-13 7:28,201902,상품A,100.0,김시환,F시,2018-05-27
2019-06-30 21:10,201906,상품A,100.0,김태준,E시,2017-05-16
2019-07-31 1:32,201907,상품A,100.0,김윤찬,C시,2017-04-06
2019-07-27 6:05,201907,상품A,100.0,김재호,C시,2018-02-14
2019-01-26 13:30,201901,상품A,100.0,김지환,C시,2017-03-23
2019-04-06 11:06,201904,상품A,100.0,김태인,F시,2017-03-12
2019-04-24 3:12,201904,상품A,100.0,정영훈,A시,2018-04-18
2019-03-09 19:11,201903,상품A,100.0,김수민,A시,2018-02-06
2019-05-16 2:34,201905,상품A,100.0,김주안,G시,2017-05-05
2019-03-20 2:16,201903,상품A,100.0,김라온,F시,2018-07-29
2019-07-22 11:53,201907,상품A,100.0,김시훈,E시,2018-07-23
2019-05-30 17:53,201905,상품A,100.0,김승호,F시,2017-04-08
2019-03-15 9:14,201903,상품A,100.0,김강현,D시,2017-06-07
2019-06-24 5:06,201906,상품A,100.0,김시호,H시,2017-06-12
2019-02-18 9:24,201902,상품A,100.0,김주영,E시,2017-04-10
2019-04-01 18:01,201904,상품A,100.0,김시훈,E시,2018-07-23
2019-02-11 22:59,201902,상품A,100.0,김유찬,A시,2018-06-19
2019-07-24 15:59,201907,상품A,100.0,김태인,F시,2017-03-12
2019-01-15 21:29,201901,상품A,100.0,김예성,A시,2017-06-20
2019-04-05 9:21,201904,상품A,100.0,김우준,D시,2018-05-22
2019-06-09 10:26,201906,상품A,100.0,김유진,B시,2018-06-14
2019-02-01 2:42,201902,상품A,100.0,김시윤,F시,2018-03-24
2019-03-16 17:23,201903,상품A,100.0,김주원,C시,2018-05-21
2019-04-15 12:39,201904,상품A,100.0,김성빈,H시,2018-02-28
